id,month,campaign_id,brand,number_of_clicks,number_of_transactions,advertising_campaign_cost,value_of_products
68,2022-01,430255116072800749,BC,25,39,13269312.667,9588.64
69,2022-01,430255116072800749,BC,25,39,15225453.8270001,9588.64
70,2022-01,430255116072800749,BEPER,25,39,345499.367000001,18168.76
71,2022-01,430255116072800749,BEPER,25,39,13269312.667,18168.76
72,2022-01,430255116072800749,BEPER,25,39,15225453.8270001,18168.76
73,2022-01,430255116072800749,BH,25,39,345499.367000001,62957.84
74,2022-01,430255116072800749,BH,25,39,13269312.667,62957.84
75,2022-01,430255116072800749,BH,25,39,15225453.8270001,62957.84
76,2022-01,430255116072800749,BIBS,25,39,345499.367000001,17228.88
77,2022-01,430255116072800749,BIBS,25,39,13269312.667,17228.88
78,2022-01,430255116072800749,BIBS,25,39,15225453.8270001,17228.88
79,2022-01,430255116072800749,BIO,25,39,345499.367000001,7049.73
80,2022-01,430255116072800749,BIO,25,39,13269312.667,7049.73
81,2022-01,430255116072800749,BIO,25,39,15225453.8270001,7049.73
82,2022-01,430255116072800749,BK,25,39,345499.367000001,10406.37
83,2022-01,430255116072800749,BK,25,39,13269312.667,10406.37
84,2022-01,430255116072800749,BK,25,39,15225453.8270001,10406.37
85,2022-01,430255116072800749,BM,25,39,345499.367000001,30815.17
86,2022-01,430255116072800749,BM,25,39,13269312.667,30815.17
87,2022-01,430255116072800749,BM,25,39,15225453.8270001,30815.17
88,2022-01,430255116072800749,BO,25,39,345499.367000001,982.61
89,2022-01,430255116072800749,BO,25,39,13269312.667,982.61
90,2022-01,430255116072800749,BO,25,39,15225453.8270001,982.61
91,2022-01,430255116072800749,BP,25,39,345499.367000001,495.39
92,2022-01,430255116072800749,BP,25,39,13269312.667,495.39
93,2022-01,430255116072800749,BP,25,39,15225453.8270001,495.39
94,2022-01,430255116072800749,BPL,25,39,345499.367000001,21815.18
95,2022-01,430255116072800749,BPL,25,39,13269312.667,21815.18
96,2022-01,430255116072800749,BPL,25,39,15225453.8270001,21815.18
97,2022-01,430255116072800749,BS,25,39,345499.367000001,29711.0
98,2022-01,430255116072800749,BS,25,39,13269312.667,29711.0
99,2022-01,430255116072800749,BS,25,39,15225453.8270001,29711.0
100,2022-01,430255116072800749,BV,25,39,345499.367000001,100758.06
101,2022-01,430255116072800749,BV,25,39,13269312.667,100758.06
102,2022-01,430255116072800749,BV,25,39,15225453.8270001,100758.06
103,2022-01,430255116072800749,BX,25,39,345499.367000001,10377.68
104,2022-01,430255116072800749,BX,25,39,13269312.667,10377.68
105,2022-01,430255116072800749,BX,25,39,15225453.8270001,10377.68
106,2022-01,430255116072800749,C,25,39,345499.367000001,3053660.22
107,2022-01,430255116072800749,C,25,39,13269312.667,3053660.22
108,2022-01,430255116072800749,C,25,39,15225453.8270001,3053660.22
109,2022-01,430255116072800749,CC,25,39,345499.367000001,9825.13
110,2022-01,430255116072800749,CC,25,39,13269312.667,9825.13
111,2022-01,430255116072800749,CC,25,39,15225453.8270001,9825.13
112,2022-01,430255116072800749,CH,25,39,345499.367000001,425765.83
113,2022-01,430255116072800749,CH,25,39,13269312.667,425765.83
114,2022-01,430255116072800749,CH,25,39,15225453.8270001,425765.83
115,2022-01,430255116072800749,CHI,25,39,345499.367000001,29199.52
116,2022-01,430255116072800749,CHI,25,39,13269312.667,29199.52
117,2022-01,430255116072800749,CHI,25,39,15225453.8270001,29199.52
118,2022-01,430255116072800749,CK,25,39,345499.367000001,1734742.47
119,2022-01,430255116072800749,CK,25,39,13269312.667,1734742.47
120,2022-01,430255116072800749,CK,25,39,15225453.8270001,1734742.47
121,2022-01,430255116072800749,CLEAN,25,39,345499.367000001,20474.8
122,2022-01,430255116072800749,CLEAN,25,39,13269312.667,20474.8
123,2022-01,430255116072800749,CLEAN,25,39,15225453.8270001,20474.8
124,2022-01,430255116072800749,CM,25,39,345499.367000001,16245.21
125,2022-01,430255116072800749,CM,25,39,13269312.667,16245.21
